case_id,file,Ri_m,L_m,Phi,Tin_ch_C,dataset_role,row_count,sha256
D001,development_cases/D001.csv.gz,0.01,12.0,0.2,565.0,development,1078,7178971ab655d820f381cc796113b46ac1885cf5602f5470ef8194296e3159e5
D002,development_cases/D002.csv.gz,0.01,15.0,0.2,565.0,development,1077,15e9b8f4edcd4af69e2cd9d60879f24b5a84ce8709e9f946e7d17646f9c39fdb
D003,development_cases/D003.csv.gz,0.01,12.0,0.1,565.0,development,1296,28d01553b56fc2a42f65569a3650f388a2dc68c55b88a68e5563162b1b9a4c1d
D004,development_cases/D004.csv.gz,0.01,12.0,0.3,565.0,development,1099,bcd3a1f94266d5bc13d4ef1f3f47e8d558ac3222d8a5c4b869e9bdeb367e8df7
D005,development_cases/D005.csv.gz,0.01,12.0,0.2,555.0,development,1000,5ad384ff06622d3c7f55471e2127f79ece98f64d75db7387c46d9c41d7969ba6
D006,development_cases/D006.csv.gz,0.01,12.0,0.2,575.0,development,1154,775d558d547717445861094c1aaa2fa8b0c1c4b718b34bbeda285264005cdb7c
D007,development_cases/D007.csv.gz,0.01,12.0,0.2,585.0,development,1349,3da74d1f8d34b6412982d817102daad0bef19637cb59357acdb7dff04359db39
D008,development_cases/D008.csv.gz,0.01,12.0,0.3,555.0,development,1030,37bf4c9d2bf25708f0940bc8092df6d9d5ccb1a14f9712c3faf9b098baf109b0
D009,development_cases/D009.csv.gz,0.01,12.0,0.3,575.0,development,1164,3f75eac9639c0e3ce98a61cbeb416e10a2b8758ba632861ff4ec18b024a13157
D010,development_cases/D010.csv.gz,0.01,12.0,0.3,585.0,development,1223,6ad5bcba3c9f11206fa97a397987cfe855fa71504abffa06e472cf360a8dd1e1
D011,development_cases/D011.csv.gz,0.0125,12.0,0.2,565.0,development,1199,09f5ea3fec2f4695706ca9ec056d3d2b76c646390a9c9fbc5609b92ee652b694
D012,development_cases/D012.csv.gz,0.0125,12.0,0.1,565.0,development,951,e4bbb5bcb015e5d50668f5f8f32a6d7e2372eafb02a9ef05dfd2245fd92e580c
D013,development_cases/D013.csv.gz,0.0125,15.0,0.1,565.0,development,957,6bd92016397e938c0afaf4b810c5fd77a23fc078170ef605c5ebf3bffb682869
D014,development_cases/D014.csv.gz,0.0125,12.0,0.3,565.0,development,1099,72d64c19573d20fa9c8e1baf56865cc2ba6f785916b1ca41bc747ade736bd24f
D015,development_cases/D015.csv.gz,0.0125,15.0,0.3,565.0,development,1099,a33913c962f25fe88e7b68f0048c63f1cb93dd9e20031953f71b63e04fe7f302
D016,development_cases/D016.csv.gz,0.0125,12.0,0.2,555.0,development,1031,93ce8e598225c2f9ada9252b0d6ccec2f44892ae35f3d7cb0133bed04ce10b48
D017,development_cases/D017.csv.gz,0.0125,12.0,0.2,575.0,development,1332,45e1ccd996ed6cc27f2536c257bf92ef1a67597069d4e3f17eb9ff3585eba7e9
D018,development_cases/D018.csv.gz,0.0125,12.0,0.2,585.0,development,1381,c6d151c80dc6473ec479eb73fe2ee5bcedf0be306888ce8efee8c68d556044bb
D019,development_cases/D019.csv.gz,0.0125,12.0,0.3,545.0,development,949,9efe6b56fd03965665649719270cd7c6bc0d2a1bfff5a1fb2241e559be8a67af
D020,development_cases/D020.csv.gz,0.0125,12.0,0.3,555.0,development,1026,4af6477f0d843cb2da7cc67b8168ffed23b9ab057408e0fa16bc6cab04e485a3
D021,development_cases/D021.csv.gz,0.0125,12.0,0.3,575.0,development,1169,1576d6398048ab1236bc4b743d66543817693776eb472760e4b49401d4d0b270
D022,development_cases/D022.csv.gz,0.0125,12.0,0.3,585.0,development,1270,be396197ff68585fb9189754699c11ed05601b65706c48e8ce8ca6543a87c42b
D023,development_cases/D023.csv.gz,0.03,15.0,0.2,565.0,development,112,4985a62e6f776b546ecf7371f017357e08d15f4dcbe9679f463ab120398198ef
D024,development_cases/D024.csv.gz,0.03,10.0,0.2,565.0,development,110,dc73edacfd4d6b3acc4f8517694ec6b5bfc878855b8bb5bf01349e4d08fb5471
D025,development_cases/D025.csv.gz,0.03,15.0,0.3,565.0,development,568,4745ff480d6cb53d6b514e8714dbbba8e9b28657b0aad4c3b0d8129d4cb6229d
D026,development_cases/D026.csv.gz,0.03,12.0,0.2,565.0,development,111,6ca447d300c3a469db4395b8fd9c964a826d6e5d19aa01c50765c9bb29ff6990
D027,development_cases/D027.csv.gz,0.03,15.0,0.2,555.0,development,81,cc4e13cfc4f57d8456c66f293663ad89230d3f053a9d026806c95efd0ee54e38
D028,development_cases/D028.csv.gz,0.03,15.0,0.2,575.0,development,117,b4624b1bb632f800226660b02768cf076c5368c44944b25ab80bb9c367e7dd22
D029,development_cases/D029.csv.gz,0.03,15.0,0.2,585.0,development,127,ea8b5a0699059c306f17d7ca707ce14870540d09614790720909f360abeb7c3a
D030,development_cases/D030.csv.gz,0.03,15.0,0.3,555.0,development,609,7646130adeabd2b7945eb0dd9f01afa95acf669e73ec6f2c6a408cf6beef57da
D031,development_cases/D031.csv.gz,0.03,15.0,0.3,575.0,development,376,6a94b5d726cc22a223913bbb3c3b44b14d267ea96eecd91ab138f24dc37a95ce
D032,development_cases/D032.csv.gz,0.03,15.0,0.3,585.0,development,343,c187bc4462c15a96b741a8705da181537d3ce7a2f42a015a2bacc819d066e44d
E_RI002,external_cases/E_RI002.csv.gz,0.02,12.0,0.2,565.0,external,954,843645b6ce44c05d04a2f2f0b9434b0d6884c2cae09dd646ad85eb9415fb2bb0
