table,target,model,metric,mean,sd,n,min,max
Table6,Tout_C,BLSTM-XGB,R2,0.9706126002163655,0.002110975092694559,4,0.967677790344224,0.9722024923282392
Table6,Tout_C,CNN-BLSTM,R2,0.9916875461075896,0.0020818071618557634,4,0.9897920715011796,0.9939016441389052
Table6,Tout_C,BLSTM-SA,R2,0.97955587749332,0.0060592327571580215,4,0.9762800448142172,0.988640898658542
Table6,Tout_C,LCA-Stacking,R2,0.998309927167712,0.0005515893726325755,4,0.9976781009277992,0.9989535953376188
Table7,log1p_Q_J,BLSTM-XGB,R2,0.9882684933933064,0.0007976543837968098,4,0.987602630424687,0.9892015764012748
Table7,log1p_Q_J,CNN-BLSTM,R2,0.9876413250603177,0.005723901855910009,4,0.9801405627343543,0.9940686808168576
Table7,log1p_Q_J,BLSTM-SA,R2,0.8257912167839339,0.06439959433531961,4,0.7341804360422033,0.879758762547678
Table7,log1p_Q_J,LCA-Stacking,R2,0.9925634925676142,0.005763666940781889,4,0.9840114030736852,0.9963060762925562
Table8,Tout_C_external,BLSTM-XGB,R2,0.998284538357738,0.0005592358436415069,4,0.9977175684094428,0.998973032588926
Table8,Tout_C_external,CNN-BLSTM,R2,0.9962611326071893,0.0013309911941197829,4,0.9950594099795438,0.9977162066265328
Table8,Tout_C_external,BLSTM-SA,R2,0.9716322893249192,0.028661529139444503,4,0.9300958774335214,0.9914582058796368
Table8,Tout_C_external,LCA-Stacking,R2,0.9963004548303839,0.003689858840645719,4,0.9919524064475186,0.9998381712065252
Table9,log1p_Q_J_external,BLSTM-XGB,R2,0.9870995682191056,0.013686152543274951,4,0.967033772401482,0.9978037845101156
Table9,log1p_Q_J_external,CNN-BLSTM,R2,0.9750071268868737,0.019053186422010638,4,0.9477104025107308,0.9920010844019956
Table9,log1p_Q_J_external,BLSTM-SA,R2,0.8262386409531921,0.021909930572604108,4,0.8043223326877728,0.8465402188363116
Table9,log1p_Q_J_external,LCA-Stacking,R2,0.9982729270458617,0.000851998499490744,4,0.9976668458171924,0.9995247975484848
Table6,Tout_C,BLSTM-XGB,MSE,6.3786529174188376,0.4581956053530551,4,6.0335604617252425,7.0156651638520975
Table6,Tout_C,CNN-BLSTM,MSE,1.8042514364016853,0.4518645890498173,4,1.3236725838702106,2.21567179740973
Table6,Tout_C,BLSTM-SA,MSE,4.437478736853896,1.315180757342442,4,2.4655384771842925,5.1485113504698665
