seed,fold,target,base_model,epoch,training_loss,validation_loss,n_train_windows,n_validation_windows
42,1,Tout_C,cnn,1,0.0057322969660162,0.0004911475698463,20869,5658
42,1,Tout_C,cnn,2,0.0022036877926439,0.0012539568124338,20869,5658
42,1,Tout_C,cnn,3,0.0013692856300622,0.0008114199154078,20869,5658
42,1,Tout_C,cnn,4,0.0009746412397362,0.0018379173707216,20869,5658
42,1,Tout_C,cnn,5,0.0008137291879393,0.0010213279165327,20869,5658
42,1,Tout_C,cnn,6,0.0006710507441312,0.0003281800018157,20869,5658
42,1,Tout_C,cnn,7,0.0006633250159211,0.0016335499240085,20869,5658
42,1,Tout_C,cnn,8,0.0006058212020434,0.002075552009046,20869,5658
42,1,Tout_C,cnn,9,0.0006375159719027,0.0003610225685406,20869,5658
42,1,Tout_C,cnn,10,0.0006075528799556,0.0007520452491007,20869,5658
42,1,Tout_C,lstm,1,0.0024280920624732,0.0004255952953826,20869,5658
42,1,Tout_C,lstm,2,0.0006195449968799,0.0006032238597981,20869,5658
42,1,Tout_C,lstm,3,0.0004877819446846,0.0001754271652316,20869,5658
42,1,Tout_C,lstm,4,0.0004301447770558,8.890157914720476e-05,20869,5658
42,1,Tout_C,lstm,5,0.000379683682695,0.0001689037017058,20869,5658
42,1,Tout_C,lstm,6,0.0002980786375701,0.0001154001511167,20869,5658
42,1,Tout_C,lstm,7,0.0003024403413292,9.103734191739932e-05,20869,5658
42,1,Tout_C,lstm,8,0.0002454662753734,0.0002856560167856,20869,5658
42,1,Tout_C,lstm,9,0.0002152807865059,0.0001835291477618,20869,5658
42,1,Tout_C,lstm,10,0.0001979004009626,7.748734060442075e-05,20869,5658
42,1,Tout_C,sa,1,0.0174038466066122,0.0012440074933692,20869,5658
42,1,Tout_C,sa,2,0.0054551898501813,0.0017219155561178,20869,5658
42,1,Tout_C,sa,3,0.003162189386785,0.001000668737106,20869,5658
42,1,Tout_C,sa,4,0.002015124540776,0.0005851411260664,20869,5658
42,1,Tout_C,sa,5,0.0016434100689366,0.0004434529400896,20869,5658
42,1,Tout_C,sa,6,0.0015033128438517,0.0004184025747235,20869,5658
42,1,Tout_C,sa,7,0.001485729473643,0.0005412193713709,20869,5658
42,1,Tout_C,sa,8,0.0013720821589231,0.0003252510214224,20869,5658
42,1,Tout_C,sa,9,0.0014350732089951,0.0005649902159348,20869,5658
42,1,Tout_C,sa,10,0.0013775450643151,0.0004032443684991,20869,5658
42,1,logQ,cnn,1,0.00606594607234,0.0003442926390562,20869,5658
42,1,logQ,cnn,2,0.0028651698958128,0.0012094354024156,20869,5658
42,1,logQ,cnn,3,0.0020618913695216,0.0012439899146556,20869,5658
42,1,logQ,cnn,4,0.0017086196457967,0.0008537176763638,20869,5658
42,1,logQ,cnn,5,0.0014319410547614,0.0009433741797693,20869,5658
42,1,logQ,cnn,6,0.001336490153335,0.0016601054230704,20869,5658
42,1,logQ,cnn,7,0.0012615270679816,0.0007934839231893,20869,5658
42,1,logQ,cnn,8,0.0012460155412554,0.0007864384679123,20869,5658
42,1,logQ,cnn,9,0.00119064678438,0.000594345619902,20869,5658
42,1,logQ,cnn,10,0.0011903964914381,0.0007068869308568,20869,5658
42,1,logQ,lstm,1,0.0042732027359306,8.683077612658963e-05,20869,5658
42,1,logQ,lstm,2,0.0007131072925403,0.0020830165594816,20869,5658
42,1,logQ,lstm,3,0.0005473255878314,0.0004485539684537,20869,5658
42,1,logQ,lstm,4,0.0004482669173739,0.0001661434071138,20869,5658
42,1,logQ,lstm,5,0.0003898132417816,0.0001165205467259,20869,5658
42,1,logQ,lstm,6,0.0003365493903402,7.418513996526599e-05,20869,5658
42,1,logQ,lstm,7,0.0003057717985939,2.4943912649177943e-05,20869,5658
42,1,logQ,lstm,8,0.0002699534234125,6.919498991919681e-05,20869,5658
42,1,logQ,lstm,9,0.0002423635596642,3.1499865144724026e-05,20869,5658
42,1,logQ,lstm,10,0.0002180588926421,1.894194610940758e-05,20869,5658
42,1,logQ,sa,1,0.0221778880804777,0.0007648206083104,20869,5658
42,1,logQ,sa,2,0.0065389573574066,0.0032887381967157,20869,5658
42,1,logQ,sa,3,0.0047671939246356,0.0019161190139129,20869,5658
42,1,logQ,sa,4,0.0036109201610088,0.0010909618576988,20869,5658
42,1,logQ,sa,5,0.0030762534588575,0.0004700570716522,20869,5658
42,1,logQ,sa,6,0.0027800148818641,0.0004352217947598,20869,5658
42,1,logQ,sa,7,0.0027568556834012,0.0007087610429152,20869,5658
42,1,logQ,sa,8,0.0026002908125519,0.0019987397827208,20869,5658
42,1,logQ,sa,9,0.0025565561372786,0.0007609574240632,20869,5658
42,1,logQ,sa,10,0.002583201508969,0.0004167751758359,20869,5658
42,2,Tout_C,cnn,1,0.0083314916118979,0.002542054047808,20619,5908
42,2,Tout_C,cnn,2,0.0029658551793545,0.0001495414908276,20619,5908
42,2,Tout_C,cnn,3,0.0018102430040016,0.0003372850187588,20619,5908
42,2,Tout_C,cnn,4,0.0012474341783672,7.766950147924945e-05,20619,5908
42,2,Tout_C,cnn,5,0.0009679025970399,0.0012449700152501,20619,5908
42,2,Tout_C,cnn,6,0.000884550914634,0.0003136004961561,20619,5908
42,2,Tout_C,cnn,7,0.0008078415412455,0.0002634203992784,20619,5908
42,2,Tout_C,cnn,8,0.0008067743619903,0.0007636701338924,20619,5908
42,2,Tout_C,cnn,9,0.000770136131905,0.0001306726771872,20619,5908
42,2,Tout_C,cnn,10,0.0007570792804472,6.555912841577083e-05,20619,5908
42,2,Tout_C,lstm,1,0.0018100362503901,0.0004246093158144,20619,5908
42,2,Tout_C,lstm,2,0.0006329052266664,8.236112626036629e-05,20619,5908
42,2,Tout_C,lstm,3,0.0004805567150469,7.285827450687066e-05,20619,5908
42,2,Tout_C,lstm,4,0.0004271992365829,0.0003878836578223,20619,5908
42,2,Tout_C,lstm,5,0.0003597968316171,6.627979746554047e-05,20619,5908
42,2,Tout_C,lstm,6,0.0003017781127709,0.0001686798495939,20619,5908
42,2,Tout_C,lstm,7,0.0002788300334941,9.657919872552156e-05,20619,5908
42,2,Tout_C,lstm,8,0.0002497885434422,2.084071093122475e-05,20619,5908
42,2,Tout_C,lstm,9,0.0002254629362141,6.974417192395777e-05,20619,5908
42,2,Tout_C,lstm,10,0.0002043474378297,7.578265649499372e-05,20619,5908
42,2,Tout_C,sa,1,0.0195340979844331,0.00041959725786,20619,5908
42,2,Tout_C,sa,2,0.0061997906304895,0.0003532180853653,20619,5908
42,2,Tout_C,sa,3,0.0039147846400737,0.0005529329064302,20619,5908
42,2,Tout_C,sa,4,0.0025463050696998,0.0001582881232025,20619,5908
42,2,Tout_C,sa,5,0.0020129943732172,0.0005141366273164,20619,5908
42,2,Tout_C,sa,6,0.001685397233814,0.0001750121300574,20619,5908
42,2,Tout_C,sa,7,0.0015976371942088,0.0001763484178809,20619,5908
42,2,Tout_C,sa,8,0.001582657918334,0.0016067511169239,20619,5908
42,2,Tout_C,sa,9,0.0015059164725244,0.0006719650118611,20619,5908
42,2,Tout_C,sa,10,0.0015513884136453,0.000130794753204,20619,5908
42,2,logQ,cnn,1,0.0084019787609577,0.0005471828044392,20619,5908
42,2,logQ,cnn,2,0.0033104487229138,0.0003072110994253,20619,5908
42,2,logQ,cnn,3,0.0024494959507137,0.0011201006127521,20619,5908
42,2,logQ,cnn,4,0.0019420026801526,0.0002927568566519,20619,5908
42,2,logQ,cnn,5,0.001730857649818,0.000320599792758,20619,5908
42,2,logQ,cnn,6,0.0015580928884446,0.0003807987377513,20619,5908
42,2,logQ,cnn,7,0.0014982144348323,0.0004189874453004,20619,5908
42,2,logQ,cnn,8,0.0014346438692882,0.0009620081400498,20619,5908
42,2,logQ,cnn,9,0.001441037398763,0.000191479048226,20619,5908
42,2,logQ,cnn,10,0.0013620282988995,9.022538870340212e-05,20619,5908
42,2,logQ,lstm,1,0.0044904896058142,0.0001252679794561,20619,5908
42,2,logQ,lstm,2,0.0007446914096362,5.413761027739383e-05,20619,5908
42,2,logQ,lstm,3,0.0005396463675424,1.6127381968544796e-05,20619,5908
42,2,logQ,lstm,4,0.0004489936982281,1.6908152247196995e-05,20619,5908
42,2,logQ,lstm,5,0.000372488371795,1.5466874174308032e-05,20619,5908
42,2,logQ,lstm,6,0.0003443610039539,9.901539306156336e-05,20619,5908
42,2,logQ,lstm,7,0.0003235274052713,1.4916097825334871e-05,20619,5908
42,2,logQ,lstm,8,0.0002639170852489,7.260267739184201e-05,20619,5908
42,2,logQ,lstm,9,0.000264592730673,6.184823723742738e-05,20619,5908
42,2,logQ,lstm,10,0.0002283673675265,0.0001541016245028,20619,5908
42,2,logQ,sa,1,0.0238906703889369,0.0018937473651021,20619,5908
42,2,logQ,sa,2,0.0066549535840749,0.0016607232391834,20619,5908
42,2,logQ,sa,3,0.0049356138333678,0.0013135441113263,20619,5908
42,2,logQ,sa,4,0.0037394720129668,0.0005167460185475,20619,5908
42,2,logQ,sa,5,0.00330206961371,0.000381079618819,20619,5908
42,2,logQ,sa,6,0.0030009143520146,0.0005952231003902,20619,5908
42,2,logQ,sa,7,0.0026281580794602,0.0002393820759607,20619,5908
42,2,logQ,sa,8,0.0025287861935794,0.0013698877301067,20619,5908
42,2,logQ,sa,9,0.0025028120726346,5.842223254148848e-05,20619,5908
42,2,logQ,sa,10,0.0023953241761773,0.0005068168393336,20619,5908
42,3,Tout_C,cnn,1,0.0077393422834575,0.0013141760136932,20647,5880
42,3,Tout_C,cnn,2,0.0027049663476645,0.0010162693215534,20647,5880
42,3,Tout_C,cnn,3,0.0016510123386979,0.0005422036047093,20647,5880
42,3,Tout_C,cnn,4,0.0010984253603965,0.0007352969259954,20647,5880
42,3,Tout_C,cnn,5,0.0008703297353349,0.0006275532068684,20647,5880
42,3,Tout_C,cnn,6,0.0008037610095925,0.0004272899241186,20647,5880
42,3,Tout_C,cnn,7,0.0007074403110891,0.00056740938453,20647,5880
42,3,Tout_C,cnn,8,0.0007032267167232,0.0005797495832666,20647,5880
42,3,Tout_C,cnn,9,0.0006381777930073,0.0005995944375172,20647,5880
42,3,Tout_C,cnn,10,0.0005911090411245,0.0005004545091651,20647,5880
